player_id,name,sub_position,age,snapshot_date,horizon_months,outcome_due_date,model,current_value_eur,predicted_pct_change,predicted_value_eur,pct_q10,pct_q90
340990,Alfie Jones,Centre-Back,28.637919233401778,2026-05-28,6,2027-02-06,xgboost,6000000,-0.041223787,5752657.279372215,-0.27604306,0.2765971
341051,Kyle Walker-Peters,Right-Back,29.138945927446954,2026-06-03,6,2027-02-11,xgboost,12000000,-0.21584024,9409917.175769806,-0.40581077,0.01969882
341092,Federico Chiesa,Right Winger,28.605065023956193,2026-06-03,6,2027-02-11,xgboost,13000000,-0.20783909,10298091.873526573,-0.3729238,0.09447055
341501,Hamza Choudhury,Defensive Midfield,28.654346338124572,2026-05-28,6,2027-02-06,xgboost,4000000,-0.21087122,3156515.121459961,-0.40824687,0.14761844
342046,Axel Tuanzebe,Centre-Back,28.550308008213552,2026-06-03,6,2027-02-11,xgboost,5000000,-0.1209495,4395252.503454685,-0.30310792,0.20042357
344069,Anton Stach,Defensive Midfield,27.548254620123203,2026-06-03,6,2027-02-11,xgboost,28000000,0.038732063,29084497.76470661,-0.15502279,0.28606337
345911,Ladislav Krejci,Centre-Back,27.121149897330596,2026-06-03,6,2027-02-11,xgboost,22000000,-0.05652036,20756552.048027515,-0.23360185,0.19415817
346314,Trevoh Chalobah,Centre-Back,26.913073237508556,2026-06-03,6,2027-02-11,xgboost,40000000,-0.053027432,37878902.703523636,-0.18888308,0.22276862
346483,Mason Mount,Attacking Midfield,27.394934976043807,2026-06-03,6,2027-02-11,xgboost,25000000,-0.17765416,20558645.948767662,-0.3544684,0.13289674
346707,Sean Longstaff,Central Midfield,28.591375770020534,2026-06-03,6,2027-02-11,xgboost,15000000,-0.17297442,12405383.66138935,-0.3107164,0.1147165
346890,Noah Okafor,Left Winger,26.026009582477755,2026-06-03,6,2027-02-11,xgboost,25000000,0.1551543,28878857.56790638,-0.14325427,0.45868787
348026,Nordi Mukiele,Right-Back,28.58590006844627,2026-06-03,6,2027-02-11,xgboost,16000000,-0.12566394,13989377.02178955,-0.29111913,0.10365396
349066,Alexander Isak,Centre-Forward,26.699520876112253,2026-06-03,6,2027-02-11,xgboost,85000000,-0.18821032,69002122.50649929,-0.353991,0.073346734
349701,Antonee Robinson,Left-Back,28.8186173853525,2026-06-03,6,2027-02-11,xgboost,22000000,-0.21751224,17214730.829000473,-0.3535503,0.030549446
351749,Kalvin Phillips,Defensive Midfield,30.48596851471595,2026-05-28,6,2027-02-06,xgboost,2500000,-0.23781021,1905474.4765162468,-0.46368188,0.095604815
352041,Lucas Perri,Goalkeeper,28.479123887748116,2026-06-03,6,2027-02-11,xgboost,10000000,-0.19044717,8095528.334379196,-0.34993783,0.14551952
353032,Omar Alderete,Centre-Back,29.43463381245722,2026-06-03,6,2027-02-11,xgboost,13000000,-0.18226856,10630508.720874786,-0.3476297,0.03925731
353775,David Akintola,Right Winger,29.88911704312115,2025-12-03,6,2026-08-12,xgboost,1200000,-0.06286988,1124556.1480522156,-0.31150606,0.2660047
354362,Rodrigo Bentancur,Defensive Midfield,28.93908281998631,2026-06-03,6,2027-02-11,xgboost,20000000,-0.22514558,15497088.432312012,-0.35515395,0.023554752
355915,Cristian Romero,Centre-Back,28.10130047912389,2026-06-03,6,2027-02-11,xgboost,45000000,-0.1726749,37229629.75502014,-0.32113302,0.10253466
356141,Daichi Kamada,Attacking Midfield,29.82614647501711,2026-06-03,6,2027-02-11,xgboost,10000000,-0.18021636,8197836.4288806915,-0.3676652,0.043816637
357119,Ibrahima Konaté,Centre-Back,27.025325119780973,2026-06-03,6,2027-02-11,xgboost,45000000,-0.101467706,40433953.21816206,-0.27809623,0.118318595
357147,Diogo Dalot,Right-Back,27.211498973305954,2026-06-03,6,2027-02-11,xgboost,30000000,-0.07056725,27882982.4924469,-0.20367613,0.19779623
357162,Florentino,Defensive Midfield,26.78986995208761,2026-06-03,6,2027-02-11,xgboost,16000000,-0.15203881,13567378.997802734,-0.3224886,0.15361317
357565,Rodri,Defensive Midfield,29.946611909650922,2026-06-03,6,2027-02-11,xgboost,50000000,-0.26633182,36683408.91599655,-0.38345605,0.005411506
357656,Jayson Molumby,Central Midfield,26.809034907597535,2026-05-28,6,2027-02-06,xgboost,3500000,0.097717635,3842011.723667383,-0.16576044,0.5227591
357658,Mark Travers,Goalkeeper,27.044490075290895,2026-06-03,6,2027-02-11,xgboost,3000000,-0.102290206,2693129.3830275536,-0.33831418,0.3342862
357662,Declan Rice,Central Midfield,27.38398357289528,2026-06-03,6,2027-02-11,xgboost,120000000,-0.024614554,117046253.53217125,-0.17883207,0.16085553
359199,Andy Fisher,Goalkeeper,27.805612594113622,2025-12-03,6,2026-08-12,xgboost,600000,-0.073382035,555970.7790613174,-0.28467646,0.28892595
361093,Sven Botman,Centre-Back,26.390143737166323,2026-06-03,6,2027-02-11,xgboost,35000000,-0.030924372,33917646.9668746,-0.22224326,0.1884027
362108,Gabriel Gudmundsson,Left-Back,27.096509240246405,2026-06-03,6,2027-02-11,xgboost,20000000,-0.017323492,19653530.158102512,-0.19618024,0.26472822
363205,Gabriel Jesus,Centre-Forward,29.166324435318277,2026-06-03,6,2027-02-11,xgboost,17000000,-0.18564346,13844061.106443405,-0.39899778,0.030303916
363901,Nik Tzanev,Goalkeeper,29.38261464750171,2026-05-12,6,2027-01-21,xgboost,100000,0.29438603,129438.60292434692,-0.24964587,0.4162609
365108,Dan Ndoye,Right Winger,25.60438056125941,2026-06-03,6,2027-02-11,xgboost,32000000,-0.16024792,26872066.497802734,-0.33234754,0.1780938
369316,Ferdi Kadıoğlu,Left-Back,26.65571526351814,2026-06-03,6,2027-02-11,xgboost,35000000,0.045476176,36591666.15456343,-0.12538768,0.32431525
369962,Joël Piroe,Centre-Forward,26.836413415468858,2026-06-03,6,2027-02-11,xgboost,10000000,-0.18779737,8122026.324272156,-0.36096546,0.24942623
371013,Ivor Pandur,Goalkeeper,26.17385352498289,2026-05-28,6,2027-02-06,xgboost,4500000,0.17089342,5269020.3711390495,-0.17624971,0.71162134
371851,Jaka Bijol,Centre-Back,27.32375085557837,2026-06-03,6,2027-02-11,xgboost,20000000,0.06558174,21311634.77897644,-0.15753068,0.31602904
375885,Ibrahim Sangaré,Defensive Midfield,28.501026694045173,2026-06-03,6,2027-02-11,xgboost,20000000,-0.14503431,17099313.735961914,-0.30382526,0.089272365
378710,Richarlison,Centre-Forward,29.065023956194388,2026-06-03,6,2027-02-11,xgboost,25000000,-0.1689459,20776352.658867836,-0.35339993,0.031285226
380350,Igor Julio,Centre-Back,28.317590691307323,2026-06-03,6,2027-02-11,xgboost,10000000,-0.23104478,7689552.158117294,-0.37861475,0.15147829
